id,first_name,last_name,birth_date,gender,phone,position,salary,hire_date,termination_date,department_id
1,James,Smith,4/12/1978,M,585-555-1122,Teacher,9500,8/15/2012,,2
2,Amelia,Johnson,11/30/1982,F,716-555-3344,Administrator,13500,1/10/2010,6/30/2021,7
3,Robert,Brown,2/19/1969,M,585-555-7788,Teacher,10200,9/1/2008,,2
4,Natalie,Wilson,7/8/1975,F,212-555-8899,Counselor,9800,3/22/2014,,5
5,Andrew,Martin,5/17/1988,M,716-555-9901,Teacher,8800,8/19/2019,,2
6,Laura,Garcia,9/25/1981,F,585-555-4477,Teacher,11000,2/14/2011,12/18/2020,3
7,Daniel,Nguyen,1/4/1973,M,212-555-6611,Principal,16000,7/1/2006,,1
8,Jessica,Lopez,6/11/1986,F,716-555-2244,Administrator,12500,11/5/2013,,7
9,Michael,Anderson,10/29/1979,M,585-555-8811,Teacher,9700,9/10/2015,,2
10,Sarah,Thomas,3/15/1990,F,212-555-4400,Teacher,9000,1/8/2018,,2
11,Christopher,Harris,12/2/1968,M,585-555-3009,Custodian,7800,4/12/2000,9/30/2016,6
12,Megan,Clark,8/21/1984,F,716-555-1188,Teacher,10400,8/15/2012,,2
13,Jonathan,Lewis,6/6/1971,M,585-555-7722,Teacher,11500,9/1/2009,,2
14,Emily,Walker,1/27/1989,F,212-555-9991,Administrator,13200,5/20/2016,,7
15,Kevin,Hall,11/18/1965,M,716-555-4501,Teacher,12000,8/24/1998,6/15/2015,2
16,Hannah,Young,2/9/1992,F,585-555-2299,Teacher,8700,8/30/2020,,2
17,Paul,King,9/13/1976,M,212-555-6633,Counselor,9900,10/1/2011,,5
18,Nicole,Wright,4/3/1983,F,716-555-7766,Teacher,10800,8/18/2013,,2
19,Brandon,Scott,7/24/1970,M,585-555-9911,Administrator,14000,1/3/2005,12/31/2019,7
20,Olivia,Green,12/14/1987,F,212-555-8822,Teacher,9200,9/9/2014,,2
